avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' perhaps personpronoun mean interpronoun personpronoun overheard between thirdpronoun and addressform robinson did not personpronoun mention personpronoun to you\n', 2116.08393438632]
[' addressform robinson s asking thirdpronoun how personpronoun liked our meryton assemblies and whether personpronoun did not think there were articlehere great indefpronoun pretty women in articlehere room and interpronoun personpronoun thought articlehere prettiest\n', 2022.7888929466794]
[' and possespronoun answering immediately to articlehere last question oh\n', 12936.266373851371]
[' articlehere eldest miss bennet beyond articlehere doubt there cannot be two opinions on demonpronoun point\n', 1059.9676907066112]
[' upon my word\n', 353.37530948528416]
[' well demonpronoun was very decided indeed demonpronoun does seem as if but however personpronoun may indefpronoun come to indefpronoun personpronoun know\n', 485.68686362926996]
[' my overhearings were more to articlehere purpose than possespronoun eliza said charlotte\n', 1585.1292339415238]
[' addressform darcy is not so well worth listening to as possespronoun friend is he\n', 1391.317779439202]
[' poor eliza\n', 78.99561692468454]
[' personpronoun beg personpronoun would not put personpronoun into lizzy s head to be vexed by possespronoun ill treatment for personpronoun is such articlehere disagreeable man demonpronoun personpronoun would be quite articlehere misfortune to be liked by him\n', 1044.242214848964]
[' addressform long told me last night demonpronoun personpronoun sat close to thirdpronoun for half articlehere hour without once opening possespronoun lips\n', 3570.538542532465]
[' are personpronoun quite sure ma am\n', 304.08127767970325]
[' is not there articlehere little mistake\n', 316.4959319429399]
[' said jane\n', 25.97545056393221]
[' personpronoun certainly saw addressform darcy speaking to her\n', 355.6170430923729]
[' aye because personpronoun asked thirdpronoun at last how personpronoun liked netherfield and personpronoun could not help answering thirdpronoun but personpronoun said personpronoun seemed very angry at being spoke to\n', 2940.6966503182216]
[' with thirdpronoun personpronoun is remarkably agreeable\n', 331.11175013768434]
[' personpronoun do not believe articlehere word of personpronoun my dear\n', 469.41058399146516]
[' if personpronoun had been so very agreeable personpronoun would have talked to addressform long\n', 666.158336967189]
[' but personpronoun can guess how personpronoun was every body says demonpronoun personpronoun is ate up with pride and personpronoun dare say personpronoun had heard somehow demonpronoun addressform long does not keep articlehere carriage and had come to articlehere ball in articlehere hack chaise\n', 1492.0637219062503]
[' personpronoun do not mind possespronoun not talking to addressform long said miss lucas but personpronoun wish personpronoun had danced with eliza\n', 2013.5392860625311]
[' indefpronoun time lizzy said thirdpronoun mother personpronoun would not dance with thirdpronoun if personpronoun were you\n', 926.2341217291961]
[' personpronoun believe ma am personpronoun may safely promise personpronoun never to dance with him\n', 4642.444480549277]
[' possespronoun pride said miss lucas does not offend me so much as pride often does because there is articlehere excuse for it\n', 3686.559164170939]
[' indefpronoun cannot wonder demonpronoun so very fine articlehere young man with family fortune every thing in possespronoun favour should think highly of himself\n', 1362.9816413355366]
[' if personpronoun may so express personpronoun personpronoun has articlehere right to be proud\n', 462.5299937883456]
[' demonpronoun is very true replied elizabeth and personpronoun could easily forgive possespronoun pride if personpronoun had not mortified possespronoun \n', 1068.5014932610172]
[' pride observed mary interpronoun piqued reflexpronoun upon articlehere solidity of thirdpronoun reflections is articlehere very common failing personpronoun believe\n', 6746.797009953035]
[' by indefpronoun demonpronoun personpronoun have ever read personpronoun am convinced demonpronoun personpronoun is very common indeed demonpronoun human nature is particularly prone to personpronoun and demonpronoun there are very indefpronoun of us interpronoun do not cherish articlehere feeling of self complacency on articlehere score of indefpronoun quality or indefpronoun real or imaginary\n', 2040.042101650032]
[' vanity and pride are different things though articlehere words are often used synonimously\n', 11264.81239147465]
[' articlehere person may be proud without being vain\n', 1771.4198962233131]
[' pride relates more to our opinion of reflexpronoun vanity to interpronoun personpronoun would have others think of us\n', 1844.4466802469026]
[' if personpronoun were as rich as addressform darcy cried articlehere young lucas interpronoun came with possespronoun sisters personpronoun should not care how proud personpronoun was\n', 871.3377531359284]
[' personpronoun would keep articlehere pack of foxhounds and drink articlehere bottle of wine every day\n', 4581.47918387407]
[' then personpronoun would drink articlehere great deal more than personpronoun ought said addressform bennet and if personpronoun were to see personpronoun at personpronoun personpronoun should take away your bottle directly\n', 1301.2696412950029]
[' articlehere boy protested demonpronoun personpronoun should not personpronoun continued to declare demonpronoun personpronoun would and articlehere argument ended only with articlehere visit\n', 1545.6997389158541]
[' articlehere ladies of longbourn soon waited on demonpronoun of netherfield\n', 569.5683528819784]
[' articlehere visit was returned in due form\n', 3589.4819372304605]
[' miss bennet s pleasing manners grew on articlehere good will of addressform hurst and miss bingley and though articlehere mother was found to be intolerable and articlehere younger sisters not worth speaking to articlehere wish of being better acquainted with thirdpronoun was expressed towards articlehere two eldest\n', 2143.64932968941]
[' personpronoun mentioned demonpronoun to thirdpronoun friend miss lucas\n', 1025.6190583070247]
[' if articlehere woman conceals thirdpronoun affection with articlehere same skill from articlehere object of personpronoun personpronoun may lose articlehere opportunity of fixing thirdpronoun and personpronoun will then be but poor consolation to believe articlehere world equally in articlehere dark\n', 1775.2990934735797]
[' there is so much of gratitude or vanity in almost every attachment demonpronoun personpronoun is not safe to leave indefpronoun to itself\n', 1538.1611421052394]
[' personpronoun can indefpronoun begin freely articlehere slight preference is natural enough but there are very indefpronoun of us interpronoun have heart enough to be really in love without encouragement\n', 1144.1535786906938]
[' bingley likes your sister undoubtedly but personpronoun may never do more than like thirdpronoun if personpronoun does not help thirdpronoun on\n', 1479.6084267052738]
